_component,_id,_index,_isPartlyCorrect,_parentId,_score,_shouldBeSelected,scope,text
mcq,6311e958d77eec3905ae76d1,0,FALSE,6311e946d77eec3905ae76ce,0,TRUE,sj_family_products_dangerous_goods,Hazardous
mcq,6311e958d77eec3905ae76d1,1,FALSE,6311e946d77eec3905ae76ce,0,FALSE,sj_family_products_dangerous_goods,Non-hazardous
mcq,6311eac7d77eec3905ae76d9,0,FALSE,6311eac7d77eec3905ae76d5,0,TRUE,sj_family_products_dangerous_goods,Hazardous
mcq,6311eac7d77eec3905ae76d9,1,FALSE,6311eac7d77eec3905ae76d5,0,FALSE,sj_family_products_dangerous_goods,Non-hazardous
mcq,6311eb2dd77eec3905ae76df,0,FALSE,6311eb2dd77eec3905ae76db,0,FALSE,sj_family_products_dangerous_goods,Hazardous
mcq,6311eb2dd77eec3905ae76df,1,FALSE,6311eb2dd77eec3905ae76db,0,TRUE,sj_family_products_dangerous_goods,Non-hazardous
mcq,6311eb68d77eec3905ae76e5,0,FALSE,6311eb68d77eec3905ae76e1,0,TRUE,sj_family_products_dangerous_goods,Hazardous
mcq,6311eb68d77eec3905ae76e5,1,FALSE,6311eb68d77eec3905ae76e1,0,FALSE,sj_family_products_dangerous_goods,Non-hazardous
mcq,6311ebb6d77eec3905ae76eb,0,FALSE,6311ebb6d77eec3905ae76e7,0,TRUE,sj_family_products_dangerous_goods,Hazardous
mcq,6311ebb6d77eec3905ae76eb,1,FALSE,6311ebb6d77eec3905ae76e7,0,FALSE,sj_family_products_dangerous_goods,Non-hazardous
mcq,631713ead77eec3905ae77b8,0,FALSE,631713ead77eec3905ae77ac,0,TRUE,sj_family_products_dangerous_goods,Hazardous
mcq,631713ead77eec3905ae77b8,1,FALSE,631713ead77eec3905ae77ac,0,FALSE,sj_family_products_dangerous_goods,Non-hazardous
mcq,631713ead77eec3905ae77bc,0,FALSE,631713ead77eec3905ae77ad,0,FALSE,sj_family_products_dangerous_goods,Hazardous
mcq,631713ead77eec3905ae77bc,1,FALSE,631713ead77eec3905ae77ad,0,TRUE,sj_family_products_dangerous_goods,Non-hazardous
mcq,631713ead77eec3905ae77c0,0,FALSE,631713ead77eec3905ae77ae,0,TRUE,sj_family_products_dangerous_goods,Hazardous
mcq,631713ead77eec3905ae77c0,1,FALSE,631713ead77eec3905ae77ae,0,FALSE,sj_family_products_dangerous_goods,Non-hazardous
mcq,631713ebd77eec3905ae77c4,0,FALSE,631713ead77eec3905ae77af,0,TRUE,sj_family_products_dangerous_goods,Hazardous
mcq,631713ebd77eec3905ae77c4,1,FALSE,631713ead77eec3905ae77af,0,FALSE,sj_family_products_dangerous_goods,Non-hazardous
mcq,631713ebd77eec3905ae77c8,0,FALSE,631713ead77eec3905ae77b0,0,FALSE,sj_family_products_dangerous_goods,Hazardous
mcq,631713ebd77eec3905ae77c8,1,FALSE,631713ead77eec3905ae77b0,0,TRUE,sj_family_products_dangerous_goods,Non-hazardous
