"User ID","Program ID","Program Name",Category,"Time assigned","Time started","Time completed","Time due",Status,"Include in dashboard"
2,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 01:22:10","04/02/2023, 03:26:33","27/02/2023, 14:27:07","29/10/2020, 00:30:47","Not complete",1
1240,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","16/12/2022, 11:26:17","08/03/2023, 00:40:22",,Complete,1
1016,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","05/12/2022, 03:30:14","17/01/2023, 14:02:31",,Complete,1
1014,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,"18/12/2023, 15:07:47","Not complete",1
1019,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","27/12/2022, 15:38:01","06/02/2023, 06:38:14",,Complete,1
1015,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","15/03/2023, 06:05:49","11/04/2023, 13:18:47",,Complete,1
1020,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","11/05/2021, 21:32:58",,"29/06/2023, 14:55:57","Not complete",1
1021,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1013,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","02/12/2022, 23:52:06","15/12/2022, 06:20:21","05/07/2021, 01:22:39",Complete,1
1038,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","25/12/2022, 05:18:25","06/04/2023, 12:59:13",,Complete,1
1040,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1023,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","22/12/2022, 05:45:12","10/06/2023, 21:18:15",,Complete,1
1024,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","16/12/2022, 17:49:45","04/02/2023, 20:23:29",,Complete,1
1025,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","03/12/2022, 11:54:48","19/12/2022, 06:57:31",,Complete,1
1027,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1028,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","15/12/2022, 05:17:53","28/12/2022, 02:11:01",,Complete,1
1029,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","17/12/2022, 03:09:46","07/01/2023, 02:22:58",,Complete,1
1030,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","05/12/2022, 20:43:28","21/12/2022, 23:18:32",,Complete,1
1031,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1033,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","30/12/2022, 03:24:45","14/03/2023, 06:47:36",,Complete,1
1034,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1035,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","31/01/2023, 23:20:49","21/03/2023, 14:51:17",,Complete,1
1036,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","14/03/2023, 19:33:51","14/04/2023, 21:23:47",,Complete,1
1041,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","05/12/2022, 11:58:11","09/05/2023, 15:56:31",,Complete,1
1042,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","29/04/2023, 04:03:04","17/05/2023, 03:25:46",,Complete,1
1043,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","25/02/2023, 10:23:41","25/03/2023, 10:06:08",,Complete,1
1044,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","13/02/2023, 19:03:49","04/06/2023, 06:31:40",,Complete,1
1045,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1047,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","03/02/2023, 14:15:59","11/04/2023, 00:48:12",,Complete,1
1048,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","20/02/2023, 07:04:26","18/04/2023, 11:29:31",,Complete,1
1050,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","01/01/2023, 10:22:33","01/03/2023, 07:32:20",,Complete,1
1052,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1053,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1056,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","21/12/2022, 00:28:26","05/04/2023, 01:26:30",,Complete,1
1057,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1058,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1060,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1062,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1063,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","20/12/2022, 10:45:53","22/01/2023, 17:52:58",,Complete,1
1064,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","22/02/2023, 14:27:58","16/03/2023, 23:01:45",,Complete,1
1065,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","01/12/2022, 11:51:28","29/04/2023, 21:01:36",,Complete,1
1067,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","25/02/2023, 08:37:58","19/03/2023, 02:13:38",,Complete,1
1068,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1069,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","14/12/2022, 09:53:45","25/04/2023, 23:08:05",,Complete,1
1071,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","26/12/2022, 04:16:53","04/02/2023, 05:40:18",,Complete,1
1072,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1073,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","20/01/2023, 07:40:29","21/05/2023, 12:51:31",,Complete,1
1075,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","03/12/2022, 08:18:37","26/12/2022, 20:43:55",,Complete,1
1077,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","18/12/2022, 10:17:56","31/01/2023, 04:26:03",,Complete,1
1078,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","17/02/2023, 18:03:45","07/04/2023, 15:24:45",,Complete,1
1080,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","02/12/2022, 18:55:13","19/12/2022, 21:33:52",,Complete,1
1082,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","01/12/2022, 00:00:00","08/12/2022, 00:00:00",,Complete,1
1083,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","11/02/2023, 17:10:42","24/04/2023, 09:37:16",,Complete,1
1085,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
1087,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","01/12/2022, 07:37:11","18/12/2022, 18:47:54",,Complete,1
1088,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","01/12/2022, 13:51:44","28/12/2022, 23:58:29",,Complete,1
1090,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35","27/12/2022, 02:43:42","26/02/2023, 12:23:09",,Complete,1
1092,6,"Commercial Awareness","Commercial Awareness","09/04/2021, 06:09:35",,,,"Not complete",1
